"Area","Centroid_1","Centroid_2","Perimeter","Circularity","Eccentricity","Solidity","MinorAxisLength","MajorAxisLength","Concentration","Time","Enumeration","Aggregation"
1751,587.8783552,1088.630497,235.645,0.385901204,0.914067449,0.797358834,33.04044564,81.46825706,10000,3,9,"y"
2174,617.9379025,575.2976081,248.877,0.430134463,0.916134348,0.806679035,34.86025913,86.96120929,10000,3,10,"y"
1703,653.5061656,824.6605989,172.361,0.694796207,0.816171115,0.914607948,35.96712768,62.24729699,10000,3,11,"y"
1546,694.5536869,976.656533,172.948,0.626544578,0.847444548,0.88646789,33.17255263,62.48551016,10000,3,12,"y"
1423,697.2522839,630.2241743,213.58,0.380724125,0.918585394,0.777170945,29.6477002,75.01520157,10000,3,13,"y"
1920,707.4260417,1114.079688,214.68,0.508521401,0.922798067,0.85106383,31.66401878,82.18358998,10000,3,14,"y"
1588,811.8967254,831.4200252,174.221,0.634360752,0.850086205,0.902272727,33.34912746,63.32390572,10000,3,15,"y"
1854,828.1569579,1074.197411,198.768,0.571486122,0.880840532,0.869198312,34.68676628,73.26955424,10000,3,16,"y"
1613,847.9925604,434.2938624,166.24,0.706499416,0.82805443,0.923825888,34.43417271,61.41855526,10000,3,17,"y"
1279,856.3494918,947.89914,142.182,0.761041179,0.806387827,0.932215743,31.31628469,52.95395522,10000,3,18,"y"
2825,880.4361062,823.5355752,236.432,0.618515268,0.684230444,0.914831606,52.50188805,71.99279536,10000,3,19,"y"
1371,882.487965,880.1334792,165.613,0.604973173,0.836091386,0.889682025,31.51047803,57.43901137,10000,3,20,"y"
1706,934.4771395,309.39449,183.393,0.616126835,0.872150079,0.88900469,33.47683626,68.42642417,10000,3,21,"y"
1742,961.4902411,259.0861079,200.405,0.528360498,0.897489142,0.836293807,32.66781945,74.07054874,10000,3,22,"y"
